"Country_region","Volume","Risk"
"Thailand",2031859,15.0342263262392
"Japan",1563326,11.5674349970614
"Hong Kong (SAR)",1001725,7.41201056109303
"Taiwan",979724,7.24921973092047
"Korea (South)",936564,6.92986823643169
"United States",773347,5.72218536164078
"Malaysia",634323,4.69351246614012
"Singapore",568070,4.20329016390738
"Viet Nam",468378,3.46564444591443
"Australia",455647,3.37144463413647
"Indonesia",412546,3.05252969521244
"Cambodia",262910,1.94533599203072
"Macao (SAR)",260367,1.92651970726508
"Philippines",250285,1.85192050041994
"Germany",234904,1.7381126844623
"Canada",208502,1.54275776885774
"United Kingdom",190733,1.4112805513978
"United Arab Emirates",162303,1.20091996316063
"Italy",152922,1.13150762836454
"Russia",151273,1.11930627029197
"France",137856,1.02003057516788
"New Zealand",120673,0.892889316368044
"India",106734,0.789751214382893
"Spain",105819,0.782980903505756
"Turkey",66490,0.491975923738626
"Egypt",57516,0.425575082414661
"Sri Lanka",55717,0.412263837313055
"Maldives",50659,0.374838446693865
"Netherlands",44861,0.331937613398083
"Myanmar",43291,0.320320795827476
"North Mariana Isl",42318,0.313121328632444
"Switzerland",39025,0.288755608721611
"Laos",34513,0.255370206888122
"Nepal",34252,0.253439003457594
"Pakistan",33770,0.249872566470949
"Bangladesh",29115,0.215429072336443
"Czech Republic",29040,0.214874128821924
"Israel",28613,0.211714650412593
"Austria",28336,0.209665059032301
"South Africa",26405,0.195377113345141
"Denmark",26195,0.193823271504487
"Brazil",25733,0.190404819455047
"Iran",24834,0.183752896527674
"Belgium",22752,0.168347664564615
"Saudi Arabia",21590,0.159749739712994
"Sweden",20114,0.148828451347251
"Greece",19600,0.145025238461078
"Mexico",19217,0.142191326913599
"Qatar",18954,0.140245324989351
"Finland",18797,0.13908364323229
"Portugal",18703,0.138388114027426
"Ethiopia",18393,0.136094347500745
"Mauritius",18297,0.13538401980216
"Ukraine",17275,0.127821989510976
"Poland",17171,0.127052467837509
"Morocco",16974,0.125594816206038
"Nigeria",13734,0.101621256378798
"Kenya",13185,0.097559069852516
"Mongolia",13117,0.0970559210660184
"Hungary",12836,0.0949767326982856
"Iraq",11414,0.0844550036629972
"Kazakhstan",11112,0.0822204311111989
"Argentina",10164,0.0752059450876733
"Serbia",10149,0.0750949563847694
"Uzbekistan",9676,0.0715951126198669
"Zambia",9471,0.0700782670135138
"Tanzania",8388,0.0620648826638532
"Uganda",8246,0.0610141896096964
"Ghana",8211,0.0607552159695873
"Algeria",7887,0.0583578599868634
"Kuwait",7755,0.0573811594013092
"Jordan",7724,0.0571517827486411
"Panama",7521,0.0556497356360085
"Norway",7470,0.0552723740461353
"Korea (North)",7020,0.0519427129590188
"Brunei Darussalam",6982,0.0516615415783289
"Ireland",6946,0.0513951686913596
"Lebanon",6395,0.0473181836713568
"Oman",6311,0.0466966469350951
"Angola",5994,0.0443510856803929
"Peru",5755,0.042582665680791
"Romania",5551,0.0410732193212982
"Sudan",5433,0.0402001081917876
"Iceland",5330,0.0394379857651809
"Guam",5272,0.0390088294472859
"Congo (Kinshasa)",5248,0.0388312475226397
"Chile",4924,0.0364338915399157
"Belarus",4921,0.0364116937993349
"Georgia",3991,0.029530394219294
"Mozambique",3928,0.0290642416670977
"Turkmenistan",3908,0.0289162567298925
"Cuba",3649,0.0269998517930854
"Cote D'Ivoire",3511,0.0259787557263696
"Venezuela",3475,0.0257123828394003
"Bulgaria",3473,0.0256975843456798
"Guinea",3455,0.0255643979021951
"Bahrain",3290,0.0243435221702524
"Colombia",3204,0.0237071869402701
"Azerbaijan",3078,0.0227748818358775
"Tunisia",2912,0.0215466068570744
"Ecuador",2802,0.0207326897024459
"Gabon",2786,0.0206143017526818
"Cameroon",2734,0.0202295409159483
"Zimbabwe",2716,0.0200963544724637
"Senegal",2659,0.0196745974014289
"Madagascar",2515,0.0186091058535516
"Cyprus",2514,0.0186017066066913
"Fiji",2410,0.0178321849332244
"Croatia",2244,0.0166039099544214
"Luxembourg",1971,0.0145839155615707
"Mauritania",1955,0.0144655276118065
"Equatorial Guinea",1864,0.0137921961475229
"Seychelles",1863,0.0137847969006627
"Armenia",1724,0.0127563015870867
"Botswana",1627,0.0120385746416415
"Djibouti",1602,0.011853593470135
"Mali",1587,0.0117426047672312
"Palau",1512,0.0111876612527117
"Congo (Brazzaville)",1500,0.0110988702903886
"Malta",1473,0.0108990906251616
"Chad",1425,0.0105439267758692
"Rwanda",1386,0.0102553561483191
"Sierra Leone",1330,0.00984099832414458
"Papua New Guinea",1327,0.0098188005835638
"Lithuania",1267,0.00937484577194826
"Namibia",1207,0.00893089096033271
"Malawi",1139,0.00842774217383509
"Latvia",1062,0.00785800016559514
"Costa Rica",1047,0.00774701146269126
"Slovenia",1008,0.00745844083514115
"Bolivia",977,0.00722906418247312
"Tajikistan",966,0.00714767246701027
"Macedonia",926,0.00685170259259991
"Estonia",906,0.00670371765539473
"Benin",890,0.00658532970563058
"Togo",858,0.00634855380610229
"Lesotho",853,0.006311557571801
"Albania",830,0.00614137489401504
"Reunion",809,0.0059859907099496
"Niger",790,0.00584540501960468
"Montenegro",775,0.00573441631670079
"Liberia",711,0.00526086451764421
"South Sudan",711,0.00526086451764421
"Kyrgyzstan",656,0.00485390594032996
"Uruguay",585,0.00432855941325156
"Moldova",430,0.00318167614991141
"Burkina Faso",406,0.00300409422526519
"Bosnia-Herzegovina",368,0.00272292284457534
"Gambia",365,0.00270072510399456
"Central African Rep",339,0.00250834468562783
"Afghanistan",334,0.00247134845132653
"Dominican Rep",313,0.00231596426726109
"Puerto Rico",312,0.00230856502040083
"New Caledonia",305,0.00225677029237902
"Jamaica",286,0.0021161846020341
"Cape Verde",276,0.00204219213343151
"Eritrea",246,0.00182021472762373
"Burundi",232,0.00171662527158011
"Honduras",207,0.00153164410007363
"Comoros",178,0.00131706594112612
"Suriname",158,0.00116908100392093
"St Maarten (Dutch Part)",157,0.00116168175706068
"French Polynesia",156,0.00115428251020042
"Nicaragua",152,0.00112468552275938
"Timor-leste",140,0.00103589456043627
"Guatemala",137,0.00101369681985549
"Tonga",134,0.000991499079274717
"Paraguay",119,0.000880510376370831
"Slovakia",116,0.000858312635790053
"Vanuatu",109,0.00080651790776824
"Bahamas",107,0.000791719414047722
"Belize",83,0.000614137489401504
"Trinidad-Tobago",82,0.000606738242541245
"Curacao",75,0.000554943514519431
"Somalia",68,0.000503148786497618
"Haiti",60,0.000443954811615545
"Samoa",57,0.000421757071034768
"Aruba",56,0.000414357824174509
"Guinea-Bissau",52,0.000384760836733472
"Isle of Man",36,0.000266372886969327
"Antigua-Barbuda",34,0.000251574393248809
"Svalbard",33,0.00024417514638855
"El Salvador",29,0.000214578158947513
"Guyana",27,0.000199779665226995
"Bonaire, Saint Eustatius and Saba",26,0.000192380418366736
"Barbados",25,0.000184981171506477
"Cook Islands",25,0.000184981171506477
"Swaziland",25,0.000184981171506477
"St Kitts-Nevis",23,0.000170182677785959
"Marshall Islands",22,0.0001627834309257
"Virgin Islands (US)",20,0.000147984937205182
"Syria",16,0.000118387949764145
"Guadeloupe",15,0.000110988702903886
"Martinique",13,9.61902091833681e-05
"Gibraltar",12,8.8790962323109e-05
"Jersey",12,8.8790962323109e-05
"Grenada",11,8.13917154628499e-05
"Bhutan",9,6.65932217423317e-05
"St Lucia",8,5.91939748820727e-05
"Cayman Islands",7,5.17947280218136e-05
"Solomon Islands",5,3.69962343012954e-05
"Micronesia",4,2.95969874410363e-05
"Faroe Islands",3,2.21977405807772e-05
"American Samoa",2,1.47984937205182e-05
"Bermuda",2,1.47984937205182e-05
"Sao Tome-Principe",2,1.47984937205182e-05
"Virgin Islands (GB)",2,1.47984937205182e-05
"Turks-Caicos",1,7.39924686025908e-06
